Date;Close;Open;High;Low;Volume;Variation %
03/11/2020;15.4;15.15;16;15.15;21830000;1.65%
02/11/2020;15.15;13.8;15.15;14.9;30940000;9.78%
30/10/2020;13.8;13.8;13.8;13.8;46160000;0.00%
28/10/2020;13.8;13.8;13.8;13.75;1060000;0.00%
27/10/2020;13.8;13.7;13.8;13.55;5340000;0.73%
26/10/2020;13.7;13.8;13.7;13.5;1040000;-0.72%
23/10/2020;13.8;13.8;13.8;13.3;425660;0.00%
22/10/2020;13.8;13.5;13.8;13.8;515170;2.22%
21/10/2020;13.5;13.75;13.5;12.65;1070000;-1.82%
20/10/2020;13.75;13.75;13.8;13.25;774030;0.00%
19/10/2020;13.75;13.8;13.75;13.75;2440000;-0.36%
16/10/2020;13.8;13.8;13.8;13.8;2180000;1.10%
15/10/2020;13.65;13.6;13.65;13.65;846540;0.37%
14/10/2020;13.6;13.5;13.7;13.6;4130000;0.74%
13/10/2020;13.5;13.5;13.6;13.2;814480;0.00%
12/10/2020;13.5;13.5;13.5;13.5;2120000;0.00%
09/10/2020;13.5;13.5;13.5;13.4;1740000;0.00%
08/10/2020;13.5;13.4;13.5;13.5;1040000;0.75%
07/10/2020;13.4;13.8;13.65;13;2560000;-2.90%
06/10/2020;13.8;13.2;13.8;13.75;22160000;4.55%
05/10/2020;13.2;12.9;13.2;13;5450000;2.33%
02/10/2020;12.9;12.4;13.4;12.8;5320000;4.03%
30/09/2020;12.4;12.5;12.55;12.4;2220000;-0.80%
29/09/2020;12.5;12.3;12.5;12.5;1490000;1.63%
28/09/2020;12.3;12.3;12.3;12.3;1190000;0.00%
25/09/2020;12.3;12.5;12.5;12.3;1320000;-1.60%
24/09/2020;12.5;12.15;12.5;12.4;1290000;2.88%
23/09/2020;12.15;12.1;12.15;12.1;1080000;0.41%
22/09/2020;12.1;12;12.1;12;2620000;0.83%
21/09/2020;12;12;12;11.6;535630;0.00%
18/09/2020;12;11.2;12;11.95;5920000;7.14%
17/09/2020;11.2;11.9;11.2;11.2;2290000;-5.88%
16/09/2020;11.9;11.9;11.95;11.85;241760;0.00%
15/09/2020;11.9;12.05;11.9;11;3800000;-1.24%
14/09/2020;12.05;12.05;12.45;11.7;404400;0.00%
11/09/2020;12.05;12.05;12.05;12.05;852960;0.00%
10/09/2020;12.05;12.05;12.05;11.8;160440;0.00%
09/09/2020;12.05;12.05;12.2;11.8;947820;0.00%
08/09/2020;12.05;12.05;12.05;12.05;1070000;0.00%
07/09/2020;12.05;12.5;12.05;12.05;2900000;-3.60%
04/09/2020;12.5;12.5;12.5;12.1;440920;0.00%
03/09/2020;12.5;12.5;12.45;12.05;324840;0.00%
02/09/2020;12.5;12.5;12.6;12.2;385220;0.00%
01/09/2020;12.5;12.5;13;12.05;1100000;0.00%
31/08/2020;12.5;12.5;12.5;12.1;338720;0.00%
28/08/2020;12.5;12.5;12.5;12.1;94410;0.00%
